Date of Journey,Class of Travel,Quota,From,To,Booking Date,Current Status,Number of Passengers,Age of Passengers,Travel Time,Special Considerations,Confirmation Status
04-10-2042,2AC,General,Ahmedabad,New Delhi,02-02-2042,RAC,3,Child,11,None,Confirmed
07-10-2042,Sleeper,General,Chennai,Bengaluru,05-02-2042,Waitlisted,1,Adult,8,None,Not Confirmed
11-10-2042,1AC,General,Surat,Ahmedabad,09-02-2042,Waitlisted,2,Adult,19,Senior Citizen,Not Confirmed
17-10-2042,3AC,Ladies,Lucknow,Ahmedabad,15-02-2042,Waitlisted,3,Senior Citizen,5,Senior Citizen,Not Confirmed
20-10-2042,2AC,General,Ahmedabad,Navsari,18-02-2042,RAC,1,Adult,45,None,Confirmed
22-10-2042,3AC,General,Surat,Bhavnagar,20-02-2042,Waitlisted,2,Adult,22,Senior Citizen,Not Confirmed
24-10-2042,1AC,Premium Tatkal,Surat,Ahmedabad,22-02-2042,RAC,3,Child,24,Senior Citizen,Confirmed
27-10-2042,3AC,General,Ahmedabad,Mumbai,25-02-2042,RAC,1,Child,17,None,Confirmed
31-10-2042,1AC,Tatkal,New Delhi,Navsari,01-03-2042,Waitlisted,2,Senior Citizen,33,Defense Quota,Not Confirmed
03-11-2042,1AC,General,Bharuch,Chennai,04-03-2042,Confirmed,4,Adult,12,Defense Quota,Confirmed
05-11-2042,2AC,Premium Tatkal,Bengaluru,Surat,06-03-2042,Waitlisted,5,Adult,18,Defense Quota,Not Confirmed
09-11-2042,1AC,General,Bharuch,Bharuch,10-03-2042,RAC,2,Child,43,Senior Citizen,Confirmed
11-11-2042,2AC,Tatkal,Bhavnagar,Ahmedabad,12-03-2042,Confirmed,1,Child,7,None,Confirmed
23-11-2042,3AC,Premium Tatkal,Bengaluru,Surat,24-03-2042,Confirmed,2,Adult,25,Senior Citizen,Confirmed
26-11-2042,Sleeper,General,Mumbai,Surat,27-03-2042,RAC,2,Adult,5,None,Confirmed
03-12-2042,2AC,General,New Delhi,Mumbai,03-04-2042,RAC,5,Child,25,Senior Citizen,Confirmed
06-12-2042,1AC,Premium Tatkal,Mumbai,Bengaluru,06-04-2042,Confirmed,2,Senior Citizen,45,Defense Quota,Confirmed
09-12-2042,2AC,Tatkal,Navsari,Lucknow,09-04-2042,Confirmed,3,Adult,14,Defense Quota,Confirmed
17-12-2042,Sleeper,Ladies,Mumbai,Ahmedabad,17-04-2042,RAC,5,Senior Citizen,18,Defense Quota,Confirmed
23-12-2042,Sleeper,General,Surat,Lucknow,23-04-2042,Waitlisted,1,Senior Citizen,33,Defense Quota,Not Confirmed
25-12-2042,3AC,Tatkal,Bharuch,Bhavnagar,25-04-2042,Waitlisted,3,Child,39,None,Not Confirmed
26-12-2042,Sleeper,General,Bengaluru,Chennai,26-04-2042,Waitlisted,3,Senior Citizen,14,Senior Citizen,Not Confirmed
02-01-2043,1AC,Ladies,Navsari,Chennai,03-05-2042,RAC,2,Senior Citizen,6,Senior Citizen,Confirmed
04-01-2043,3AC,Premium Tatkal,Mumbai,Chennai,05-05-2042,Confirmed,5,Child,36,Senior Citizen,Confirmed
05-01-2043,2AC,Premium Tatkal,Surat,Lucknow,06-05-2042,Confirmed,3,Child,28,Defense Quota,Confirmed
12-01-2043,2AC,General,Mumbai,Chennai,13-05-2042,Waitlisted,1,Child,37,Defense Quota,Not Confirmed
19-01-2043,3AC,General,Lucknow,Bhavnagar,20-05-2042,Waitlisted,3,Senior Citizen,37,None,Not Confirmed
30-01-2043,3AC,Premium Tatkal,Bengaluru,New Delhi,31-05-2042,Waitlisted,2,Adult,25,None,Not Confirmed
06-02-2043,3AC,General,Bhavnagar,New Delhi,07-06-2042,Confirmed,3,Adult,22,Senior Citizen,Confirmed
16-02-2043,1AC,Tatkal,Chennai,Mumbai,17-06-2042,Confirmed,1,Child,18,Defense Quota,Confirmed
22-02-2043,1AC,Premium Tatkal,Bhavnagar,Surat,23-06-2042,Waitlisted,3,Senior Citizen,43,None,Not Confirmed
24-02-2043,Sleeper,General,Mumbai,Surat,25-06-2042,Waitlisted,3,Senior Citizen,2,None,Not Confirmed
27-02-2043,Sleeper,Premium Tatkal,Bharuch,Bengaluru,28-06-2042,RAC,4,Child,10,Defense Quota,Confirmed
01-03-2043,1AC,Ladies,Chennai,Mumbai,30-06-2042,Waitlisted,5,Adult,24,Senior Citizen,Not Confirmed
10-03-2043,2AC,Tatkal,Lucknow,Mumbai,09-07-2042,Waitlisted,3,Senior Citizen,10,Senior Citizen,Not Confirmed
26-03-2043,2AC,General,Chennai,Bengaluru,25-07-2042,RAC,4,Adult,4,None,Confirmed
30-03-2043,1AC,Ladies,Mumbai,Bengaluru,29-07-2042,Waitlisted,4,Senior Citizen,29,Senior Citizen,Not Confirmed
06-04-2043,Sleeper,Ladies,Surat,Howrah,05-08-2042,Confirmed,5,Senior Citizen,14,Defense Quota,Confirmed
18-04-2043,Sleeper,Ladies,Navsari,Navsari,17-08-2042,RAC,5,Child,44,Senior Citizen,Confirmed
20-04-2043,2AC,Premium Tatkal,Navsari,New Delhi,19-08-2042,Confirmed,4,Child,3,Defense Quota,Confirmed
21-04-2043,Sleeper,Tatkal,Surat,Surat,20-08-2042,Confirmed,1,Senior Citizen,36,None,Confirmed
01-05-2043,1AC,Tatkal,Chennai,Ahmedabad,30-08-2042,RAC,5,Senior Citizen,38,Defense Quota,Confirmed
10-05-2043,2AC,Tatkal,Bhavnagar,Bhavnagar,08-09-2042,Waitlisted,2,Senior Citizen,36,Defense Quota,Not Confirmed
13-05-2043,2AC,General,Ahmedabad,Ahmedabad,11-09-2042,RAC,4,Child,42,Senior Citizen,Confirmed
17-05-2043,3AC,Ladies,Ahmedabad,Surat,15-09-2042,Waitlisted,2,Adult,7,Senior Citizen,Not Confirmed
18-05-2043,2AC,Tatkal,Lucknow,Howrah,16-09-2042,Waitlisted,3,Senior Citizen,4,Defense Quota,Not Confirmed
20-05-2043,2AC,General,Bengaluru,Surat,18-09-2042,Confirmed,3,Senior Citizen,4,Defense Quota,Confirmed
31-05-2043,3AC,Ladies,Bengaluru,Surat,29-09-2042,Confirmed,4,Adult,20,Senior Citizen,Confirmed
04-06-2043,2AC,General,Lucknow,Bengaluru,03-10-2042,Confirmed,3,Senior Citizen,30,None,Confirmed
13-06-2043,1AC,Premium Tatkal,Bengaluru,Ahmedabad,12-10-2042,Waitlisted,3,Child,32,Defense Quota,Not Confirmed
16-06-2043,3AC,General,Chennai,New Delhi,15-10-2042,RAC,2,Senior Citizen,13,Defense Quota,Confirmed
27-06-2043,1AC,Premium Tatkal,Bengaluru,Surat,26-10-2042,Confirmed,1,Child,5,None,Confirmed
05-07-2043,2AC,General,Mumbai,Mumbai,03-11-2042,RAC,4,Senior Citizen,30,Defense Quota,Confirmed
08-07-2043,3AC,Tatkal,New Delhi,Howrah,06-11-2042,Confirmed,5,Adult,5,Defense Quota,Confirmed
13-07-2043,Sleeper,Premium Tatkal,New Delhi,Howrah,11-11-2042,Confirmed,1,Child,16,Defense Quota,Confirmed
14-07-2043,1AC,Tatkal,New Delhi,Lucknow,12-11-2042,Waitlisted,4,Adult,16,Defense Quota,Not Confirmed
16-07-2043,1AC,Premium Tatkal,Navsari,Chennai,14-11-2042,Waitlisted,3,Adult,18,None,Not Confirmed
23-07-2043,3AC,Premium Tatkal,Mumbai,Chennai,21-11-2042,Waitlisted,5,Adult,38,Senior Citizen,Not Confirmed
24-07-2043,1AC,Tatkal,Bhavnagar,Mumbai,22-11-2042,Confirmed,2,Senior Citizen,7,None,Confirmed
27-07-2043,2AC,Ladies,Bhavnagar,Bhavnagar,25-11-2042,Confirmed,5,Child,26,Defense Quota,Confirmed
28-07-2043,1AC,Premium Tatkal,New Delhi,Navsari,26-11-2042,Waitlisted,5,Child,40,Defense Quota,Not Confirmed
03-08-2043,3AC,General,Mumbai,Bharuch,02-12-2042,RAC,2,Adult,17,Defense Quota,Confirmed
10-08-2043,Sleeper,Ladies,Ahmedabad,Chennai,09-12-2042,RAC,3,Child,22,Defense Quota,Confirmed
12-08-2043,2AC,Premium Tatkal,Bharuch,Ahmedabad,11-12-2042,RAC,1,Adult,24,Senior Citizen,Confirmed
17-08-2043,Sleeper,Ladies,Lucknow,Bengaluru,16-12-2042,RAC,3,Child,7,Senior Citizen,Confirmed
18-08-2043,2AC,Tatkal,Howrah,Bengaluru,17-12-2042,Waitlisted,5,Adult,44,None,Not Confirmed
24-08-2043,1AC,General,Bhavnagar,New Delhi,23-12-2042,RAC,4,Adult,41,Defense Quota,Confirmed
29-08-2043,1AC,Ladies,Ahmedabad,Howrah,28-12-2042,Confirmed,1,Child,39,None,Confirmed
30-08-2043,1AC,General,Surat,New Delhi,29-12-2042,RAC,3,Child,31,Defense Quota,Confirmed
06-09-2043,Sleeper,Ladies,Lucknow,Chennai,05-01-2043,RAC,5,Adult,14,Senior Citizen,Confirmed
08-09-2043,3AC,General,Mumbai,Bharuch,07-01-2043,Waitlisted,2,Child,34,Senior Citizen,Not Confirmed
10-09-2043,2AC,Ladies,Surat,Chennai,09-01-2043,Confirmed,5,Senior Citizen,34,Defense Quota,Confirmed
11-09-2043,3AC,Premium Tatkal,Bengaluru,Mumbai,10-01-2043,Confirmed,5,Adult,30,Senior Citizen,Confirmed
13-09-2043,Sleeper,Tatkal,Bharuch,Chennai,12-01-2043,Confirmed,1,Senior Citizen,19,Defense Quota,Confirmed
21-09-2043,3AC,General,New Delhi,Navsari,20-01-2043,RAC,5,Adult,35,None,Confirmed
01-10-2043,3AC,General,Mumbai,Mumbai,30-01-2043,RAC,5,Child,9,Senior Citizen,Confirmed
10-10-2043,2AC,Premium Tatkal,Bhavnagar,Surat,08-02-2043,Waitlisted,2,Adult,30,Senior Citizen,Not Confirmed
11-10-2043,1AC,Ladies,Ahmedabad,Bengaluru,09-02-2043,Waitlisted,5,Senior Citizen,9,None,Not Confirmed
12-10-2043,1AC,Ladies,New Delhi,Navsari,10-02-2043,RAC,4,Senior Citizen,26,None,Confirmed
22-10-2043,3AC,Tatkal,Bharuch,Bengaluru,20-02-2043,RAC,3,Adult,37,Senior Citizen,Confirmed
27-10-2043,3AC,Premium Tatkal,Bharuch,Mumbai,25-02-2043,Waitlisted,4,Senior Citizen,4,None,Not Confirmed
29-10-2043,3AC,General,Bengaluru,Navsari,27-02-2043,Confirmed,4,Child,6,Defense Quota,Confirmed
01-11-2043,1AC,Tatkal,Chennai,Surat,02-03-2043,Confirmed,1,Senior Citizen,45,None,Confirmed
13-11-2043,2AC,Ladies,Lucknow,Navsari,14-03-2043,Confirmed,3,Senior Citizen,17,None,Confirmed
15-11-2043,Sleeper,Ladies,New Delhi,Bhavnagar,16-03-2043,RAC,5,Adult,6,Senior Citizen,Confirmed
16-11-2043,2AC,General,Mumbai,Bharuch,17-03-2043,RAC,3,Senior Citizen,11,Defense Quota,Confirmed
17-11-2043,3AC,Tatkal,Howrah,Mumbai,18-03-2043,Confirmed,3,Adult,17,Senior Citizen,Confirmed
18-11-2043,2AC,Tatkal,Surat,Navsari,19-03-2043,Waitlisted,2,Child,40,Defense Quota,Not Confirmed
19-11-2043,3AC,Tatkal,Chennai,Bengaluru,20-03-2043,Waitlisted,3,Senior Citizen,25,Senior Citizen,Not Confirmed
20-11-2043,1AC,Ladies,Surat,Bhavnagar,21-03-2043,Confirmed,5,Adult,26,Defense Quota,Confirmed
23-11-2043,Sleeper,Premium Tatkal,Ahmedabad,Lucknow,24-03-2043,Waitlisted,5,Adult,40,Senior Citizen,Not Confirmed
24-11-2043,Sleeper,Premium Tatkal,Ahmedabad,Mumbai,25-03-2043,RAC,1,Senior Citizen,3,None,Confirmed
09-12-2043,Sleeper,Premium Tatkal,Mumbai,Ahmedabad,09-04-2043,Confirmed,3,Child,37,Senior Citizen,Confirmed
10-12-2043,2AC,Tatkal,Bharuch,Chennai,10-04-2043,Waitlisted,3,Adult,24,Senior Citizen,Not Confirmed
12-12-2043,3AC,Tatkal,Navsari,Ahmedabad,12-04-2043,Confirmed,3,Adult,28,Defense Quota,Confirmed
14-12-2043,1AC,Premium Tatkal,Navsari,Howrah,14-04-2043,RAC,5,Adult,38,None,Confirmed
22-12-2043,3AC,Tatkal,Bengaluru,Howrah,22-04-2043,Waitlisted,2,Child,34,Senior Citizen,Not Confirmed
25-12-2043,2AC,General,Ahmedabad,Ahmedabad,25-04-2043,Confirmed,4,Senior Citizen,26,Senior Citizen,Confirmed
26-12-2043,3AC,General,New Delhi,Lucknow,26-04-2043,Confirmed,2,Child,42,None,Confirmed
27-12-2043,3AC,General,Surat,Surat,27-04-2043,RAC,4,Senior Citizen,37,None,Confirmed
05-01-2044,3AC,General,Navsari,Howrah,06-05-2043,Waitlisted,3,Senior Citizen,7,Defense Quota,Not Confirmed
06-01-2044,3AC,General,Surat,Bhavnagar,07-05-2043,Waitlisted,2,Child,18,None,Not Confirmed
12-01-2044,Sleeper,Premium Tatkal,Ahmedabad,Ahmedabad,13-05-2043,Waitlisted,4,Adult,26,Senior Citizen,Not Confirmed
17-01-2044,3AC,Ladies,New Delhi,New Delhi,18-05-2043,Confirmed,5,Child,34,Senior Citizen,Confirmed
18-01-2044,2AC,Tatkal,Chennai,Lucknow,19-05-2043,RAC,4,Adult,18,Defense Quota,Confirmed
19-01-2044,3AC,Premium Tatkal,Lucknow,Surat,20-05-2043,RAC,2,Child,8,Defense Quota,Confirmed
25-01-2044,3AC,General,Bhavnagar,Lucknow,26-05-2043,RAC,4,Child,19,Senior Citizen,Confirmed
28-01-2044,3AC,Ladies,New Delhi,Howrah,29-05-2043,Waitlisted,5,Senior Citizen,37,None,Not Confirmed
29-01-2044,3AC,Premium Tatkal,Chennai,Bharuch,30-05-2043,Waitlisted,4,Child,6,None,Not Confirmed
01-02-2044,1AC,Tatkal,New Delhi,Navsari,02-06-2043,Confirmed,3,Adult,11,Defense Quota,Confirmed
03-02-2044,3AC,Ladies,Navsari,New Delhi,04-06-2043,Confirmed,4,Child,12,None,Confirmed
04-02-2044,Sleeper,General,Chennai,Ahmedabad,05-06-2043,Waitlisted,5,Adult,35,None,Not Confirmed
05-02-2044,Sleeper,Ladies,New Delhi,Lucknow,06-06-2043,Confirmed,4,Senior Citizen,27,Senior Citizen,Confirmed
11-02-2044,2AC,Premium Tatkal,Howrah,Chennai,12-06-2043,RAC,4,Child,34,None,Confirmed
13-02-2044,3AC,Tatkal,Navsari,Bhavnagar,14-06-2043,RAC,4,Adult,6,Defense Quota,Confirmed
21-02-2044,2AC,Ladies,Surat,Chennai,22-06-2043,RAC,2,Child,8,None,Confirmed
24-02-2044,2AC,Tatkal,Ahmedabad,Bharuch,25-06-2043,RAC,5,Senior Citizen,22,None,Confirmed
05-03-2044,Sleeper,Premium Tatkal,Lucknow,Ahmedabad,05-07-2043,Waitlisted,2,Adult,6,Senior Citizen,Not Confirmed
07-03-2044,1AC,General,Mumbai,Chennai,07-07-2043,RAC,5,Child,24,None,Confirmed
12-03-2044,3AC,General,Bharuch,Chennai,12-07-2043,Confirmed,1,Adult,25,None,Confirmed
16-03-2044,1AC,General,Ahmedabad,Mumbai,16-07-2043,RAC,1,Child,40,Defense Quota,Confirmed
17-03-2044,Sleeper,General,New Delhi,Bharuch,17-07-2043,RAC,5,Senior Citizen,33,Defense Quota,Confirmed
22-03-2044,3AC,Premium Tatkal,Bhavnagar,Bharuch,22-07-2043,RAC,3,Adult,16,None,Confirmed
24-03-2044,1AC,Ladies,Howrah,Surat,24-07-2043,Confirmed,4,Senior Citizen,38,Defense Quota,Confirmed
26-03-2044,3AC,General,Lucknow,Chennai,26-07-2043,RAC,2,Child,19,None,Confirmed
29-03-2044,3AC,Tatkal,Bharuch,Bhavnagar,29-07-2043,Waitlisted,1,Senior Citizen,8,Defense Quota,Not Confirmed
01-04-2044,Sleeper,General,Howrah,Howrah,01-08-2043,RAC,3,Senior Citizen,10,Defense Quota,Confirmed
03-04-2044,Sleeper,General,Mumbai,Mumbai,03-08-2043,Waitlisted,4,Adult,25,None,Not Confirmed
06-04-2044,2AC,General,New Delhi,Bharuch,06-08-2043,Waitlisted,1,Senior Citizen,11,Senior Citizen,Not Confirmed
07-04-2044,3AC,Ladies,Surat,New Delhi,07-08-2043,Confirmed,2,Senior Citizen,11,Senior Citizen,Confirmed
16-04-2044,1AC,Tatkal,Navsari,Ahmedabad,16-08-2043,Confirmed,2,Senior Citizen,7,Senior Citizen,Confirmed
17-04-2044,2AC,Tatkal,Mumbai,Navsari,17-08-2043,Confirmed,4,Adult,42,Senior Citizen,Confirmed
21-04-2044,1AC,General,Ahmedabad,Howrah,21-08-2043,RAC,4,Senior Citizen,19,None,Confirmed
24-04-2044,1AC,Tatkal,Surat,Bengaluru,24-08-2043,Confirmed,3,Senior Citizen,43,Defense Quota,Confirmed
27-04-2044,2AC,Ladies,Navsari,Howrah,27-08-2043,Confirmed,5,Child,25,Senior Citizen,Confirmed
28-04-2044,2AC,Ladies,New Delhi,Bengaluru,28-08-2043,Waitlisted,5,Child,47,None,Not Confirmed
06-05-2044,1AC,General,Mumbai,Navsari,05-09-2043,Waitlisted,1,Adult,31,Senior Citizen,Not Confirmed
12-05-2044,3AC,Premium Tatkal,New Delhi,Bengaluru,11-09-2043,Waitlisted,2,Adult,4,None,Not Confirmed
14-05-2044,Sleeper,Premium Tatkal,Chennai,Bharuch,13-09-2043,RAC,5,Senior Citizen,47,Senior Citizen,Confirmed
15-05-2044,3AC,Premium Tatkal,Lucknow,Mumbai,14-09-2043,RAC,5,Child,11,None,Confirmed
18-05-2044,2AC,Tatkal,New Delhi,Bengaluru,17-09-2043,RAC,5,Child,4,Senior Citizen,Confirmed
24-05-2044,1AC,Ladies,Chennai,Howrah,23-09-2043,Confirmed,4,Senior Citizen,19,Defense Quota,Confirmed
28-05-2044,1AC,Tatkal,New Delhi,New Delhi,27-09-2043,Waitlisted,1,Child,21,Senior Citizen,Not Confirmed
31-05-2044,2AC,General,Ahmedabad,New Delhi,30-09-2043,Confirmed,3,Adult,47,None,Confirmed
02-06-2044,3AC,Ladies,Ahmedabad,Mumbai,02-10-2043,Waitlisted,4,Child,12,Senior Citizen,Not Confirmed
05-06-2044,1AC,General,Navsari,Bharuch,05-10-2043,Waitlisted,2,Senior Citizen,45,Defense Quota,Not Confirmed
08-06-2044,Sleeper,Tatkal,New Delhi,Lucknow,08-10-2043,RAC,3,Child,40,Defense Quota,Confirmed
12-06-2044,2AC,General,Mumbai,Navsari,12-10-2043,RAC,4,Senior Citizen,37,Defense Quota,Confirmed
15-06-2044,1AC,Tatkal,Mumbai,Chennai,15-10-2043,Waitlisted,1,Adult,44,Senior Citizen,Not Confirmed
18-06-2044,Sleeper,General,Navsari,New Delhi,18-10-2043,Waitlisted,5,Senior Citizen,32,None,Not Confirmed
23-06-2044,1AC,Ladies,Ahmedabad,Bhavnagar,23-10-2043,Confirmed,3,Senior Citizen,46,Senior Citizen,Confirmed
01-07-2044,Sleeper,Premium Tatkal,New Delhi,Navsari,31-10-2043,Waitlisted,2,Senior Citizen,26,Defense Quota,Not Confirmed
05-07-2044,2AC,General,Navsari,Navsari,04-11-2043,Confirmed,5,Child,40,Senior Citizen,Confirmed
06-07-2044,Sleeper,Premium Tatkal,Lucknow,Bharuch,05-11-2043,Waitlisted,4,Adult,11,Senior Citizen,Not Confirmed
09-07-2044,3AC,Premium Tatkal,Bengaluru,Howrah,08-11-2043,Confirmed,1,Adult,15,Defense Quota,Confirmed
11-07-2044,1AC,Tatkal,Howrah,Bhavnagar,10-11-2043,Waitlisted,3,Child,44,Senior Citizen,Not Confirmed
17-07-2044,2AC,Tatkal,Bharuch,Mumbai,16-11-2043,Waitlisted,5,Adult,45,Senior Citizen,Not Confirmed
18-07-2044,2AC,General,Chennai,Chennai,17-11-2043,RAC,1,Child,17,None,Confirmed
20-07-2044,1AC,General,Mumbai,New Delhi,19-11-2043,RAC,1,Child,16,Defense Quota,Confirmed
22-07-2044,1AC,Tatkal,Lucknow,New Delhi,21-11-2043,Confirmed,4,Adult,32,Senior Citizen,Confirmed
27-07-2044,1AC,Ladies,Chennai,Bengaluru,26-11-2043,Confirmed,3,Adult,18,Defense Quota,Confirmed
01-08-2044,2AC,Ladies,Lucknow,Bhavnagar,01-12-2043,Waitlisted,4,Adult,45,Senior Citizen,Not Confirmed
02-08-2044,1AC,Ladies,Bengaluru,Mumbai,02-12-2043,Waitlisted,2,Adult,39,Defense Quota,Not Confirmed
22-08-2044,Sleeper,Premium Tatkal,Mumbai,Ahmedabad,22-12-2043,Confirmed,2,Adult,44,None,Confirmed
25-08-2044,2AC,Ladies,Lucknow,Chennai,25-12-2043,Confirmed,1,Adult,7,None,Confirmed
30-08-2044,Sleeper,Premium Tatkal,Ahmedabad,New Delhi,30-12-2043,Waitlisted,4,Senior Citizen,29,None,Not Confirmed
02-09-2044,3AC,General,Surat,Surat,02-01-2044,Waitlisted,3,Adult,35,Defense Quota,Not Confirmed
03-09-2044,1AC,Tatkal,Chennai,Mumbai,03-01-2044,Confirmed,4,Adult,18,Senior Citizen,Confirmed
16-09-2044,3AC,Tatkal,Navsari,Howrah,16-01-2044,Waitlisted,3,Adult,27,Senior Citizen,Not Confirmed
26-09-2044,2AC,Premium Tatkal,Mumbai,Bharuch,26-01-2044,Confirmed,5,Senior Citizen,22,Senior Citizen,Confirmed
30-09-2044,Sleeper,Ladies,Navsari,Bhavnagar,30-01-2044,Confirmed,5,Child,30,Senior Citizen,Confirmed
02-10-2044,3AC,General,Ahmedabad,Bharuch,01-02-2044,Waitlisted,1,Adult,24,Defense Quota,Not Confirmed
04-10-2044,Sleeper,General,Bhavnagar,Surat,03-02-2044,Confirmed,4,Adult,26,None,Confirmed
05-10-2044,Sleeper,General,Chennai,New Delhi,04-02-2044,RAC,3,Adult,23,None,Confirmed
16-10-2044,Sleeper,Tatkal,Bengaluru,Bharuch,15-02-2044,Waitlisted,1,Senior Citizen,31,None,Not Confirmed
30-10-2044,3AC,Tatkal,Mumbai,Bharuch,29-02-2044,RAC,4,Child,40,Defense Quota,Confirmed
01-11-2044,1AC,Ladies,Howrah,Bharuch,02-03-2044,RAC,3,Child,18,Senior Citizen,Confirmed
06-11-2044,Sleeper,Premium Tatkal,Bharuch,Navsari,07-03-2044,RAC,2,Child,47,Senior Citizen,Confirmed
08-11-2044,2AC,General,Mumbai,Bengaluru,09-03-2044,RAC,3,Adult,37,Defense Quota,Confirmed
11-11-2044,3AC,Ladies,Bhavnagar,Lucknow,12-03-2044,Confirmed,2,Child,11,Senior Citizen,Confirmed
14-11-2044,Sleeper,Tatkal,Bhavnagar,Lucknow,15-03-2044,Waitlisted,1,Child,23,Defense Quota,Not Confirmed
17-11-2044,3AC,Ladies,New Delhi,Surat,18-03-2044,Waitlisted,1,Senior Citizen,21,Defense Quota,Not Confirmed
25-11-2044,Sleeper,General,Howrah,Bengaluru,26-03-2044,Confirmed,1,Senior Citizen,4,Senior Citizen,Confirmed
29-11-2044,3AC,General,Bharuch,Bhavnagar,30-03-2044,Confirmed,3,Child,11,None,Confirmed
30-11-2044,1AC,Ladies,Chennai,Bharuch,31-03-2044,RAC,2,Child,45,None,Confirmed
03-12-2044,Sleeper,General,Lucknow,Surat,03-04-2044,RAC,4,Adult,3,Senior Citizen,Confirmed
04-12-2044,2AC,Premium Tatkal,Navsari,Bharuch,04-04-2044,RAC,3,Child,3,Senior Citizen,Confirmed
06-12-2044,1AC,Ladies,Ahmedabad,Bengaluru,06-04-2044,Confirmed,3,Child,21,Senior Citizen,Confirmed
09-12-2044,1AC,General,Chennai,Howrah,09-04-2044,RAC,2,Adult,21,Defense Quota,Confirmed
15-12-2044,1AC,Premium Tatkal,Howrah,Navsari,15-04-2044,Confirmed,1,Senior Citizen,6,Senior Citizen,Confirmed
16-12-2044,Sleeper,General,Surat,Bengaluru,16-04-2044,Waitlisted,4,Senior Citizen,15,Defense Quota,Not Confirmed
17-12-2044,Sleeper,Premium Tatkal,Ahmedabad,Howrah,17-04-2044,Confirmed,2,Child,18,Senior Citizen,Confirmed
22-12-2044,2AC,Tatkal,Bhavnagar,Bharuch,22-04-2044,RAC,3,Adult,42,Defense Quota,Confirmed
24-12-2044,Sleeper,General,Howrah,Ahmedabad,24-04-2044,Confirmed,2,Child,22,Senior Citizen,Confirmed
28-12-2044,1AC,Premium Tatkal,New Delhi,Lucknow,28-04-2044,RAC,2,Adult,14,Defense Quota,Confirmed
30-12-2044,2AC,Premium Tatkal,Chennai,Bharuch,30-04-2044,RAC,1,Senior Citizen,41,None,Confirmed
05-01-2045,2AC,General,Ahmedabad,Bengaluru,06-05-2044,Waitlisted,3,Senior Citizen,4,None,Not Confirmed
06-01-2045,2AC,Premium Tatkal,New Delhi,Navsari,07-05-2044,RAC,5,Senior Citizen,47,Defense Quota,Confirmed
10-01-2045,2AC,General,Bhavnagar,Navsari,11-05-2044,RAC,4,Child,26,Defense Quota,Confirmed
14-01-2045,2AC,Premium Tatkal,Lucknow,Bharuch,15-05-2044,RAC,3,Child,33,None,Confirmed
24-01-2045,2AC,Premium Tatkal,New Delhi,Surat,25-05-2044,RAC,3,Adult,14,Senior Citizen,Confirmed
27-01-2045,2AC,Ladies,New Delhi,New Delhi,28-05-2044,Confirmed,1,Senior Citizen,39,None,Confirmed
31-01-2045,2AC,Tatkal,Ahmedabad,Navsari,01-06-2044,Waitlisted,5,Adult,32,Defense Quota,Not Confirmed
04-02-2045,1AC,General,Ahmedabad,Bengaluru,05-06-2044,Waitlisted,1,Child,16,Senior Citizen,Not Confirmed
05-02-2045,3AC,Ladies,Mumbai,Mumbai,06-06-2044,Confirmed,5,Adult,38,None,Confirmed
11-02-2045,Sleeper,Ladies,Surat,Bengaluru,12-06-2044,RAC,3,Child,24,None,Confirmed
12-02-2045,3AC,Ladies,Bengaluru,Bharuch,13-06-2044,Confirmed,1,Child,30,Senior Citizen,Confirmed
14-02-2045,2AC,Tatkal,Bhavnagar,Bharuch,15-06-2044,Waitlisted,1,Adult,6,Senior Citizen,Not Confirmed
22-02-2045,1AC,Ladies,Surat,Bharuch,23-06-2044,Confirmed,1,Senior Citizen,14,Senior Citizen,Confirmed
02-03-2045,2AC,Tatkal,Howrah,New Delhi,01-07-2044,Confirmed,3,Child,3,Senior Citizen,Confirmed
03-03-2045,Sleeper,Premium Tatkal,Bhavnagar,Surat,02-07-2044,Confirmed,1,Child,31,Senior Citizen,Confirmed
05-03-2045,3AC,Premium Tatkal,Bengaluru,Bharuch,04-07-2044,Confirmed,4,Adult,27,Defense Quota,Confirmed
06-03-2045,1AC,Ladies,Chennai,Ahmedabad,05-07-2044,Waitlisted,2,Child,31,Defense Quota,Not Confirmed
10-03-2045,Sleeper,Ladies,Mumbai,Howrah,09-07-2044,Waitlisted,2,Child,27,Defense Quota,Not Confirmed
11-03-2045,3AC,Ladies,Ahmedabad,Lucknow,10-07-2044,Confirmed,4,Child,46,Senior Citizen,Confirmed
13-03-2045,3AC,Ladies,Ahmedabad,Bharuch,12-07-2044,RAC,3,Senior Citizen,41,None,Confirmed
14-03-2045,1AC,Premium Tatkal,Bhavnagar,Chennai,13-07-2044,Waitlisted,1,Child,28,Senior Citizen,Not Confirmed
16-03-2045,3AC,Ladies,Mumbai,Bhavnagar,15-07-2044,RAC,1,Senior Citizen,38,Defense Quota,Confirmed
18-03-2045,Sleeper,Premium Tatkal,Navsari,Ahmedabad,17-07-2044,Confirmed,2,Adult,21,Defense Quota,Confirmed
23-03-2045,3AC,Ladies,Navsari,Bengaluru,22-07-2044,Confirmed,5,Child,43,Senior Citizen,Confirmed
24-03-2045,Sleeper,Ladies,Bharuch,Surat,23-07-2044,Waitlisted,2,Child,42,None,Not Confirmed
